t,T,edge,bal,ela
0.0,0.11334149419499884,10300.0,2764.179781462997,883.3464534986605
1.0,0.11334149468496957,10250.0,71317.71524475422,883.3464535166504
2.0,0.11334149467877896,10250.0,71317.71524524782,883.3464535176132
3.0,0.1133414945998572,10250.0,71317.71524606273,883.3464535193674
4.0,0.11334149452210784,10250.0,71317.71524702944,883.3464535194282
5.0,0.1133414944566491,10250.0,71317.71524805622,883.3464535180494
6.0,0.11334149440310615,10250.0,71317.71524908068,883.3464535158663
7.0,0.11334149435931362,10250.0,71317.71525007626,883.3464535133922
8.0,0.11334149432324647,10250.0,71317.71525102854,883.3464535109458
9.0,0.11334149429330775,10250.0,71317.71525193145,883.3464535086846
10.0,0.11334149426827533,10250.0,71317.71525278734,883.3464535066632
11.0,0.11334149424722373,10250.0,71317.71525359759,883.3464535048848
12.0,0.11334149422943174,10250.0,71317.71525436407,883.3464535033318
13.0,0.11334149421433626,10250.0,71317.71525508724,883.3464535019821
14.0,0.11334149420148432,10250.0,71317.7152557727,883.3464535008156
15.0,0.11334149419051887,10250.0,71317.71525641717,883.3464534998168
16.0,0.11334149418113793,10250.0,71317.71525701834,883.3464534989726
17.0,0.11334149417309813,10250.0,71317.71525757015,883.3464534982722
18.0,0.11334149416619876,10250.0,71317.71525807586,883.3464534977065
19.0,0.11334149416026751,10250.0,71317.71525853034,883.3464534972661
20.0,0.11334149415516226,10250.0,71317.71525892615,883.3464534969422
21.0,0.11334149415076222,10250.0,71317.71525926702,883.3464534967251
22.0,0.11334149414696792,10250.0,71317.71525955293,883.3464534966058
23.0,0.11334149414369232,10250.0,71317.7152597867,883.3464534965742
24.0,0.11334149414086436,10250.0,71317.7152599669,883.3464534966206
25.0,0.11334149413841654,10250.0,71317.71526010288,883.3464534967354
26.0,0.11334149413629735,10250.0,71317.7152602002,883.3464534969094
27.0,0.1133414941344606,10250.0,71317.71526026679,883.3464534971339
28.0,0.1133414941328672,10250.0,71317.71526031382,883.3464534974005
